participant_id,age,gender,education,education_numeric,technical_field,employment,crt_score,need_for_cognition,working_memory,big5_extraversion,big5_agreeableness,big5_conscientiousness,big5_neuroticism,big5_openness,impulsivity_total,sensation_seeking,trust_propensity,risk_taking,state_anxiety,current_stress,fatigue_level,phishing_self_efficacy,perceived_risk,security_attitudes,privacy_concern,phishing_knowledge,technical_expertise,prior_victimization,security_training,years_email_use,daily_email_volume,email_volume_numeric,email_check_frequency,link_click_tendency,social_media_usage,overall_accuracy,phishing_detection_rate,false_positive_rate,phishing_click_rate,report_rate,mean_response_latency,mean_dwell_time,response_latency_sd
P0253,28,Male,Some college,2,1,Self-employed,5,59,10,2.25,3.85,4.01,1.8,3.9,2.24,2.59,3.0,1.86,2.44,2.34,3.72,4.67,3.83,3.79,2.43,8,5,0,0,19,11-25,2,Few times/day,2.06,0.3,0.854,0.825,0.133,0.121,0.364,3761,4367,1804
P0254,30,Female,Bachelor,3,0,Unemployed,6,71,9,2.2,2.62,1.98,3.96,2.72,2.85,2.21,3.56,2.44,1.86,2.98,2.7,3.57,3.11,3.88,2.47,3,4,3,0,22,51-100,4,Constantly,3.49,3.1,0.596,0.581,0.103,0.315,0.264,3034,3882,1063
P0255,52,Male,High school,1,0,Employed full-time,2,45,6,2.15,3.38,2.71,3.88,2.95,2.88,3.22,3.21,2.71,2.28,1.89,1.15,3.56,4.23,3.21,4.27,7,3,3,0,39,11-25,2,Once daily,3.57,1.6,0.535,0.584,0.083,0.274,0.3,3425,3868,1423
P0256,44,Male,Some college,2,1,Employed full-time,3,40,9,3.55,2.89,2.97,1.98,3.71,2.76,4.36,2.83,3.21,1.93,2.83,3.17,3.05,4.59,3.96,2.32,8,4,1,0,34,26-50,3,Hourly,2.6,3.4,0.757,0.745,0.146,0.16,0.127,2834,3456,1354
P0257,35,Female,Bachelor,3,0,Student,1,76,8,2.77,3.28,2.64,3.28,2.75,3.47,2.72,2.88,3.66,3.63,1.84,4.42,4.66,3.59,2.78,2.71,4,1,3,0,30,51-100,4,Few times/day,3.83,0.4,0.392,0.508,0.279,0.308,0.02,3413,3907,1038
P0258,48,Female,Doctorate,5,1,Student,1,46,8,2.46,3.22,3.37,3.88,3.73,3.6,3.0,3.04,1.5,2.6,3.07,4.6,3.34,2.91,3.45,3.41,5,6,2,0,33,0-10,1,Once daily,2.95,0.1,0.55,0.53,0.208,0.39,0.032,1134,1311,441
P0259,39,Female,Bachelor,3,0,Employed full-time,1,50,8,3.28,2.28,2.89,2.63,3.39,2.69,3.31,3.0,2.55,2.37,2.68,3.45,4.11,4.45,3.81,2.71,3,1,3,1,28,26-50,3,Constantly,2.83,0.4,0.582,0.529,0.106,0.354,0.336,3401,4815,1260
P0260,34,Female,Master,4,0,Student,5,49,8,4.32,4.78,3.91,1.34,3.21,2.17,3.36,2.98,2.87,2.93,2.6,2.75,4.27,4.41,3.41,2.64,5,3,2,0,19,26-50,3,Hourly,2.91,1.2,0.851,0.823,0.174,0.085,0.268,3714,4803,1479
P0261,36,Male,Bachelor,3,1,Self-employed,1,45,5,2.64,3.0,2.77,4.3,3.12,2.88,2.89,3.09,2.0,3.37,1.74,4.38,4.21,3.4,2.79,3.33,8,3,2,0,28,11-25,2,Hourly,2.23,1.5,0.505,0.553,0.227,0.341,0.044,2901,4639,645
P0262,56,Female,Master,4,1,Student,4,48,10,2.58,4.1,3.94,1.31,3.36,1.62,2.82,3.25,3.77,2.28,2.46,2.14,3.85,4.18,3.33,1.87,6,5,0,1,38,51-100,4,Few times/day,1.56,3.9,0.739,0.719,0.143,0.235,0.413,4005,5075,1376
P0263,49,Male,Bachelor,3,0,Employed full-time,5,32,6,3.35,2.83,3.03,2.82,4.36,2.05,3.62,3.1,4.26,2.2,2.16,1.87,3.44,2.57,4.06,2.3,2,3,2,1,35,100+,5,Hourly,2.82,2.5,0.709,0.793,0.143,0.188,0.573,5023,5937,1161
P0264,46,Male,Master,4,0,Employed full-time,5,64,9,3.36,2.6,4.81,2.1,2.46,1.88,1.79,3.16,1.92,2.78,1.95,3.39,3.75,1.55,3.98,3.93,8,4,0,0,40,26-50,3,Constantly,2.06,9.3,0.79,0.832,0.216,0.129,0.455,4738,5786,1491
P0265,41,Male,Bachelor,3,0,Employed full-time,6,50,6,3.28,3.89,2.12,3.24,3.18,3.6,2.75,3.08,3.35,3.35,3.1,5.36,2.33,2.42,3.78,3.97,4,4,3,1,28,26-50,3,Few times/day,2.29,0.2,0.46,0.465,0.285,0.382,0.226,4371,5581,1795
P0266,37,Male,Bachelor,3,0,Employed full-time,6,62,7,2.56,3.16,3.43,3.12,2.41,2.83,1.91,2.49,2.49,2.89,3.06,5.4,3.76,3.37,4.55,5.0,7,5,2,0,25,26-50,3,Hourly,3.28,0.3,0.835,0.813,0.235,0.094,0.39,4064,5473,1758
P0267,33,Male,Bachelor,3,1,Self-employed,5,65,9,2.41,1.9,1.87,2.55,3.37,3.13,3.09,2.4,3.57,2.36,1.01,1.92,5.0,3.14,3.6,3.77,7,4,1,0,25,26-50,3,Constantly,3.88,0.2,0.724,0.625,0.159,0.316,0.327,2701,3349,995
P0268,54,Female,Bachelor,3,1,Employed full-time,1,44,8,2.74,2.75,4.11,1.19,2.86,2.28,2.31,3.43,2.37,2.08,1.0,2.98,3.79,3.97,3.6,4.26,5,3,0,0,40,26-50,3,Constantly,3.37,1.5,0.467,0.549,0.025,0.342,0.343,2356,2607,544
P0269,26,Female,High school,1,0,Employed full-time,3,58,9,4.28,4.62,4.49,1.62,3.06,2.83,2.52,4.04,2.97,1.2,2.41,6.42,3.7,2.01,2.19,2.72,6,3,1,0,8,11-25,2,Few times/day,2.28,0.6,0.61,0.584,0.02,0.331,0.109,2934,4225,1035
P0270,24,Male,High school,1,0,Student,2,47,8,4.28,4.21,3.42,2.02,3.82,2.01,2.64,3.35,3.51,2.7,2.4,2.67,2.91,2.03,2.7,2.94,3,2,1,0,9,0-10,1,Hourly,2.79,2.3,0.568,0.593,0.227,0.21,0.313,3337,4948,999
P0271,47,Male,High school,1,0,Employed full-time,0,44,8,3.66,4.32,2.93,2.7,3.92,1.8,3.58,3.29,3.79,2.04,2.29,5.44,3.74,3.81,3.76,3.79,3,2,2,0,39,100+,5,Hourly,2.36,0.3,0.648,0.638,0.03,0.292,0.462,2386,2949,905
P0272,34,Male,Master,4,1,Self-employed,5,54,8,2.54,3.11,2.91,3.18,4.42,2.91,2.65,2.81,2.63,2.53,1.83,4.67,3.49,2.05,3.89,1.89,5,3,2,0,26,11-25,2,Few times/week,2.25,0.2,0.7,0.62,0.14,0.267,0.345,3183,4847,1297
P0273,56,Male,Some college,2,0,Employed full-time,0,44,12,3.33,3.84,3.82,3.38,3.98,2.84,3.18,2.81,2.46,3.4,2.92,4.93,4.27,2.98,2.66,3.81,4,2,3,1,38,26-50,3,Hourly,2.88,1.2,0.576,0.631,0.253,0.291,0.191,3195,3911,866
P0274,50,Female,Some college,2,0,Self-employed,2,53,6,2.49,3.91,3.1,2.84,2.47,2.07,3.29,3.71,2.47,3.06,3.16,2.96,4.45,3.22,3.37,2.97,5,1,0,1,35,51-100,4,Constantly,2.72,0.9,0.672,0.619,0.119,0.219,0.39,3740,5446,1381
P0275,39,Male,Bachelor,3,0,Employed full-time,1,45,7,3.13,3.08,2.54,2.05,3.38,3.0,3.18,3.43,1.97,1.39,3.25,3.0,4.6,2.68,4.65,2.88,5,4,1,1,25,11-25,2,Constantly,2.86,3.5,0.606,0.589,0.02,0.36,0.21,2477,2867,554
P0276,51,Female,Some college,2,0,Student,1,42,5,3.16,2.13,4.03,2.41,3.04,2.02,2.65,2.46,3.04,1.87,1.85,2.41,2.61,3.66,3.39,4.14,2,3,1,1,38,26-50,3,Constantly,3.15,3.6,0.57,0.627,0.098,0.235,0.292,3211,5317,1234
P0277,53,Male,Bachelor,3,0,Student,3,60,9,1.62,3.55,2.78,3.09,2.59,2.95,1.64,3.02,2.03,2.94,3.01,4.46,4.22,1.55,4.17,2.02,4,5,1,1,38,0-10,1,Once daily,3.81,0.2,0.573,0.538,0.216,0.369,0.237,3107,3219,1193
P0278,55,Non-binary,Some college,2,0,Employed full-time,5,52,7,2.22,2.45,3.75,2.92,4.34,2.04,3.19,2.47,2.91,1.7,3.29,1.54,4.12,4.67,3.85,3.74,4,4,1,1,40,100+,5,Constantly,2.24,3.3,0.73,0.795,0.096,0.135,0.459,3939,4470,1100
P0279,36,Male,Doctorate,5,1,Employed full-time,5,60,10,3.27,3.93,3.16,1.54,4.1,1.97,3.2,3.2,2.92,2.66,1.09,3.3,3.82,2.94,3.95,3.5,8,6,1,1,22,0-10,1,Hourly,2.49,1.7,0.88,0.799,0.186,0.215,0.464,4252,6929,1208
P0280,24,Female,Master,4,1,Employed part-time,6,69,8,3.52,4.06,3.86,2.02,2.18,1.73,3.05,3.14,2.32,2.23,3.1,5.46,4.89,3.06,2.99,2.9,4,4,1,0,11,11-25,2,Few times/day,2.34,1.4,0.842,0.758,0.124,0.182,0.328,4809,5017,2602
P0281,19,Male,Master,4,1,Employed full-time,6,49,8,1.97,4.23,3.69,2.44,4.04,2.53,1.6,3.45,2.12,3.04,2.43,4.21,4.35,5.0,2.82,3.73,7,5,1,0,4,26-50,3,Hourly,3.23,0.2,0.719,0.713,0.263,0.276,0.149,3729,4709,1593
P0282,54,Female,Bachelor,3,0,Employed full-time,2,52,9,2.65,2.98,3.21,3.27,3.66,2.46,3.49,3.31,3.27,2.34,2.46,4.7,4.71,2.11,3.86,3.3,3,2,0,0,40,51-100,4,Constantly,3.04,2.7,0.61,0.7,0.087,0.207,0.418,3952,4824,1359
P0283,39,Male,Master,4,0,Employed full-time,6,75,10,1.18,3.76,2.67,2.09,4.07,2.75,1.67,3.6,1.44,1.88,1.64,1.53,2.94,2.36,3.77,3.77,6,3,0,0,23,0-10,1,Once daily,2.48,0.1,0.795,0.776,0.02,0.112,0.239,4035,5264,1507
P0284,29,Male,High school,1,0,Employed full-time,6,75,8,2.96,4.22,2.9,2.36,3.42,2.62,2.71,3.16,2.63,2.82,2.02,2.31,3.25,4.32,3.76,3.43,7,3,0,0,18,11-25,2,Constantly,2.74,0.7,0.738,0.777,0.192,0.168,0.122,4092,5476,1247
P0285,42,Female,High school,1,0,Student,3,55,11,1.38,3.31,2.97,3.56,3.33,2.42,3.06,3.19,2.25,2.69,2.12,4.92,3.81,1.95,2.61,2.37,3,1,2,0,33,11-25,2,Constantly,1.72,0.2,0.606,0.548,0.173,0.311,0.219,4327,5470,1808
P0286,41,Female,High school,1,1,Student,5,59,8,3.33,3.84,3.17,2.49,3.14,2.55,1.88,3.62,2.19,1.76,1.49,3.65,4.85,3.6,3.35,3.03,6,4,1,1,35,11-25,2,Few times/week,1.81,1.5,0.719,0.692,0.02,0.191,0.236,2725,3845,1064
P0287,42,Female,Bachelor,3,0,Student,7,63,12,3.73,3.38,4.45,2.98,3.33,2.17,3.15,2.76,2.4,2.86,2.7,2.25,4.17,2.71,3.29,3.08,6,4,0,0,32,51-100,4,Constantly,1.75,2.1,0.937,0.881,0.155,0.133,0.403,5163,7805,2366
P0288,36,Female,Bachelor,3,0,Student,4,51,7,2.84,4.3,3.59,1.7,3.6,2.55,2.83,3.61,2.55,1.25,2.4,4.25,3.07,1.91,3.07,2.45,3,3,2,0,25,0-10,1,Constantly,2.73,4.4,0.586,0.535,0.02,0.272,0.182,3187,3865,1536
P0289,48,Female,Bachelor,3,1,Student,4,67,8,2.69,2.85,2.73,1.45,3.51,3.02,2.87,3.44,3.49,2.63,1.3,2.86,5.0,3.62,3.73,3.45,4,4,2,0,31,26-50,3,Few times/week,3.46,2.6,0.59,0.522,0.219,0.411,0.222,2148,2216,1091
P0290,28,Male,High school,1,1,Student,6,70,8,2.98,2.33,3.18,3.91,3.75,2.47,3.24,2.61,2.65,3.08,2.33,6.55,3.92,3.65,4.14,3.72,6,4,0,1,20,51-100,4,Few times/day,2.1,6.5,0.805,0.772,0.349,0.152,0.419,5364,6430,2514
P0291,37,Male,Bachelor,3,0,Employed full-time,0,41,7,2.9,2.82,3.82,2.52,3.2,2.38,2.87,2.07,2.37,1.95,2.27,4.22,2.87,3.2,3.39,3.43,2,3,2,0,25,100+,5,Few times/day,2.4,2.9,0.594,0.684,0.111,0.167,0.141,1856,2496,710
P0292,31,Male,Bachelor,3,0,Employed full-time,3,62,10,2.45,4.38,3.54,3.32,3.28,1.75,2.06,2.52,1.94,3.29,1.95,2.39,3.15,4.86,3.82,3.16,4,3,2,0,20,26-50,3,Few times/day,2.53,0.7,0.589,0.611,0.289,0.288,0.442,4707,6233,1371
P0293,48,Female,Bachelor,3,0,Retired,6,49,11,3.15,3.28,3.04,2.63,2.98,2.92,2.93,3.24,2.68,3.0,2.5,4.56,2.86,2.58,3.63,3.35,5,3,1,1,37,11-25,2,Hourly,4.02,1.6,0.642,0.611,0.223,0.28,0.183,4863,6965,1830
P0294,31,Male,Bachelor,3,0,Student,6,53,13,3.33,3.86,4.1,2.56,3.0,2.54,2.94,3.41,3.71,2.41,2.05,5.44,2.2,3.89,3.6,4.4,6,3,2,1,19,11-25,2,Few times/day,2.9,1.2,0.736,0.624,0.137,0.257,0.274,2833,4474,1122
P0295,26,Male,Some college,2,0,Employed full-time,7,75,12,3.35,3.22,2.17,3.19,3.51,2.15,3.08,3.17,3.59,3.79,1.7,3.49,3.77,3.46,3.27,3.7,7,4,0,1,14,100+,5,Constantly,2.74,1.7,0.856,0.809,0.278,0.108,0.303,5339,7110,2304
P0296,44,Female,Master,4,0,Employed full-time,4,45,9,2.84,2.56,1.45,4.25,3.85,3.53,4.08,3.01,3.22,4.0,3.32,2.58,2.65,3.98,3.69,4.48,3,5,2,1,31,51-100,4,Constantly,2.68,1.7,0.497,0.501,0.45,0.402,0.138,3802,4710,1350
P0297,43,Female,Bachelor,3,1,Student,4,43,8,3.51,2.28,4.52,3.02,4.39,1.74,4.11,2.07,3.08,2.76,2.08,3.55,4.21,2.8,3.86,3.42,5,4,2,0,33,26-50,3,Few times/day,3.56,2.4,0.905,0.888,0.246,0.1,0.512,4806,5723,1460
P0298,26,Male,Some college,2,0,Self-employed,2,60,9,3.56,3.75,2.37,3.11,3.38,2.88,4.06,2.97,2.51,3.16,3.14,2.76,4.34,2.09,3.22,2.77,3,3,2,1,9,100+,5,Few times/day,3.41,0.2,0.41,0.436,0.276,0.376,0.249,3857,4906,1621
P0299,52,Male,Some college,2,0,Student,2,50,7,4.42,3.91,4.16,1.96,3.85,1.79,3.77,3.56,2.92,2.78,1.99,3.19,3.96,2.65,2.88,3.79,3,4,0,0,35,51-100,4,Hourly,1.86,2.7,0.48,0.54,0.144,0.338,0.401,4180,5967,2480
P0300,42,Male,Bachelor,3,0,Unemployed,6,74,9,3.4,3.9,3.64,2.75,4.96,2.37,4.47,3.69,2.57,1.93,1.75,1.83,3.85,3.15,2.95,2.4,3,4,1,1,27,100+,5,Hourly,3.91,0.3,0.671,0.708,0.02,0.173,0.357,3699,4473,1901
P0301,35,Male,Master,4,0,Self-employed,6,72,12,1.98,2.46,2.91,4.09,3.91,3.35,2.33,2.66,2.68,3.2,2.81,4.55,2.77,3.74,3.22,3.27,3,2,3,0,27,26-50,3,Few times/day,3.46,0.1,0.535,0.552,0.326,0.353,0.188,4330,6016,2144
P0302,21,Male,Bachelor,3,1,Employed full-time,2,49,7,2.65,3.86,3.37,2.13,4.2,2.25,2.9,2.76,3.36,1.88,2.73,2.12,4.61,3.21,2.82,3.22,5,3,0,0,10,51-100,4,Once daily,2.77,1.5,0.717,0.707,0.152,0.289,0.377,4090,4651,1515
P0303,49,Female,Some college,2,0,Employed full-time,3,40,5,3.65,2.78,4.65,2.18,3.81,1.47,3.02,3.04,2.71,1.83,3.09,4.23,5.0,3.37,5.0,3.81,5,2,1,0,35,51-100,4,Once daily,2.87,1.7,0.666,0.667,0.108,0.277,0.65,4698,6094,1596
P0304,43,Female,Master,4,0,Employed full-time,4,55,6,1.87,3.83,3.76,2.23,3.21,2.14,2.25,3.37,2.45,2.32,2.45,3.14,4.67,4.58,3.14,4.49,5,3,0,0,29,0-10,1,Once daily,3.51,0.1,0.589,0.513,0.069,0.314,0.285,3555,3795,1638
P0305,45,Female,Bachelor,3,0,Employed full-time,2,62,7,2.57,2.8,2.91,3.86,3.25,2.85,2.78,2.46,2.07,3.06,2.38,3.77,2.74,3.18,3.43,4.12,3,3,1,0,33,100+,5,Constantly,2.21,1.4,0.569,0.62,0.217,0.228,0.207,3752,4558,1879
P0306,47,Male,Bachelor,3,1,Employed full-time,6,58,10,4.17,4.01,3.26,2.26,4.05,2.4,3.67,2.59,2.32,1.48,1.96,2.93,4.04,2.77,3.51,3.77,5,6,2,0,36,11-25,2,Few times/day,2.35,1.5,0.73,0.806,0.196,0.14,0.308,3962,6028,1501
P0307,23,Female,Bachelor,3,0,Student,6,69,10,3.53,3.48,2.64,2.99,3.97,2.64,3.54,3.44,3.16,2.76,2.35,3.74,3.62,3.55,4.57,4.09,6,3,2,1,15,11-25,2,Once daily,2.87,0.1,0.653,0.658,0.182,0.175,0.514,3804,5093,1343
P0308,36,Male,Some college,2,1,Student,1,34,10,3.63,4.34,3.33,3.09,3.0,2.72,3.93,3.31,3.52,2.51,2.3,4.02,3.67,1.83,3.47,3.87,5,5,0,0,30,51-100,4,Hourly,2.03,2.5,0.621,0.589,0.098,0.324,0.244,2445,3129,873
P0309,53,Male,Bachelor,3,0,Employed full-time,4,51,8,3.58,4.06,2.61,2.41,4.25,3.21,2.66,3.53,3.57,3.02,2.14,3.08,3.74,1.83,3.61,2.28,6,4,2,0,40,26-50,3,Once daily,3.62,0.5,0.499,0.524,0.242,0.36,0.25,3129,4194,1305
P0310,27,Female,Some college,2,0,Employed full-time,4,52,8,3.76,3.96,5.0,2.31,4.32,1.25,2.91,3.47,3.89,2.87,1.65,1.42,5.0,3.09,3.53,4.86,3,4,2,1,22,51-100,4,Once daily,2.24,3.2,0.733,0.701,0.134,0.203,0.397,5136,7073,2027
P0311,39,Male,Doctorate,5,0,Self-employed,6,75,8,3.82,3.74,4.3,1.69,4.28,2.03,2.3,2.83,2.44,1.61,2.38,3.9,3.89,2.45,3.75,3.89,3,5,0,1,27,11-25,2,Hourly,2.28,0.7,0.783,0.767,0.159,0.151,0.262,3591,4843,1440
P0312,26,Male,Bachelor,3,1,Student,4,56,8,4.28,4.07,3.15,3.11,4.25,3.02,3.25,3.62,3.56,3.28,3.07,3.97,3.69,2.71,3.6,3.21,7,4,1,0,15,11-25,2,Hourly,2.62,1.3,0.576,0.574,0.202,0.294,0.328,3236,4317,1616
P0313,48,Female,Bachelor,3,1,Self-employed,2,22,6,2.75,4.63,4.04,2.74,3.19,2.06,2.59,3.32,2.71,2.74,2.35,1.78,4.1,3.95,3.03,3.8,2,3,2,0,39,0-10,1,Few times/week,2.65,4.4,0.573,0.479,0.216,0.427,0.372,4207,4839,1974
P0314,39,Male,Bachelor,3,0,Student,6,60,7,3.19,2.49,4.33,2.42,2.31,2.47,2.34,2.15,2.5,2.24,2.89,2.32,2.85,3.62,3.12,2.51,3,3,2,1,30,26-50,3,Few times/day,2.64,3.3,0.816,0.799,0.196,0.125,0.361,3508,3782,1354
P0315,48,Female,Master,4,0,Employed full-time,1,48,7,3.12,2.34,3.04,3.01,2.01,2.67,2.0,2.03,2.31,2.34,2.69,3.08,3.21,3.14,3.54,3.23,4,3,1,0,40,26-50,3,Few times/day,3.27,3.0,0.572,0.697,0.146,0.164,0.161,2834,3993,1133
P0316,46,Male,Master,4,0,Employed full-time,4,54,9,3.43,4.42,2.88,3.44,4.67,2.46,3.55,3.6,3.05,2.22,1.77,1.0,4.41,3.27,3.21,3.25,4,2,1,0,30,11-25,2,Few times/day,3.59,0.3,0.592,0.536,0.033,0.293,0.295,3405,3758,1638
P0317,59,Female,Bachelor,3,0,Employed full-time,4,58,8,3.04,4.35,3.71,2.63,3.26,1.87,2.74,4.24,2.62,1.84,1.91,4.35,3.87,2.86,3.62,3.01,6,2,1,0,40,26-50,3,Hourly,2.03,0.1,0.559,0.63,0.02,0.299,0.326,4566,6185,2019
P0318,60,Male,Bachelor,3,0,Student,6,66,8,2.99,3.0,2.85,3.04,4.12,3.07,2.74,3.01,3.49,1.71,3.11,2.91,5.0,3.88,2.98,4.13,3,2,4,1,40,11-25,2,Few times/day,3.27,1.9,0.647,0.67,0.026,0.192,0.208,3256,4724,1731
P0319,25,Male,Bachelor,3,1,Employed full-time,5,61,10,4.84,4.11,3.17,1.18,4.18,2.49,3.92,4.22,3.62,1.82,1.47,3.85,4.24,3.83,2.75,3.39,8,7,2,0,10,51-100,4,Few times/day,3.89,1.1,0.719,0.665,0.02,0.282,0.218,2990,3424,1357
P0320,44,Female,Bachelor,3,1,Self-employed,1,52,9,3.26,3.57,3.85,1.7,3.04,2.62,2.65,3.84,3.53,1.02,1.27,2.23,3.04,3.99,2.67,2.58,3,4,4,0,26,0-10,1,Hourly,2.83,4.8,0.485,0.445,0.02,0.38,0.17,800,1000,336
P0321,60,Male,Some college,2,0,Employed full-time,5,51,8,2.43,3.08,3.27,2.23,3.6,2.67,3.4,3.24,2.45,1.83,2.43,5.92,2.61,3.96,3.58,2.65,4,5,2,1,40,26-50,3,Constantly,2.74,0.9,0.676,0.688,0.068,0.147,0.359,3174,4053,1144
P0322,41,Male,Bachelor,3,0,Employed full-time,1,27,8,2.75,1.88,3.41,3.85,2.51,2.69,2.51,3.18,1.1,3.28,2.61,1.8,4.27,3.24,2.34,2.16,5,2,3,0,29,11-25,2,Constantly,2.58,1.1,0.505,0.547,0.159,0.347,0.117,3278,3825,899
P0323,64,Male,Some college,2,1,Self-employed,2,70,6,3.51,3.77,4.3,1.45,3.2,1.99,2.9,3.94,2.59,2.65,2.27,2.9,3.32,2.64,4.64,3.74,7,5,1,0,40,0-10,1,Few times/day,3.17,1.5,0.644,0.572,0.131,0.289,0.546,3373,3928,1635
P0324,37,Male,Master,4,1,Employed part-time,7,71,10,2.85,3.35,3.98,1.69,3.25,2.03,2.99,3.64,2.34,1.46,1.74,4.94,3.34,3.07,4.82,3.08,2,5,3,0,20,51-100,4,Few times/day,2.94,3.2,0.804,0.83,0.02,0.134,0.455,4628,5646,2247
P0325,51,Male,Some college,2,0,Employed full-time,1,34,5,4.37,3.27,4.92,1.32,2.85,1.4,2.27,2.32,1.9,2.16,1.32,2.12,3.22,3.29,3.87,3.76,8,3,0,1,36,26-50,3,Few times/day,2.9,0.6,0.723,0.69,0.182,0.192,0.65,3910,4630,1990
P0326,62,Male,Doctorate,5,0,Employed full-time,7,68,9,3.81,3.46,2.71,2.56,2.91,2.54,3.7,3.09,3.9,2.25,1.77,3.61,4.48,2.66,3.33,5.0,5,4,2,1,40,26-50,3,Constantly,2.7,5.7,0.831,0.831,0.059,0.167,0.291,4351,5973,1315
P0327,29,Female,Bachelor,3,0,Self-employed,5,70,11,2.05,3.01,2.95,3.19,3.68,2.15,3.1,2.71,2.03,2.42,1.39,4.25,3.52,4.5,3.5,3.07,6,3,0,1,14,26-50,3,Constantly,3.44,1.6,0.729,0.755,0.148,0.19,0.418,3817,5006,1643
P0328,38,Male,Bachelor,3,0,Employed full-time,5,52,7,4.36,3.26,3.96,2.02,3.14,1.82,2.96,3.6,3.27,2.24,1.36,1.69,3.08,4.51,3.81,3.78,4,2,0,0,22,26-50,3,Few times/day,3.08,3.7,0.782,0.809,0.02,0.22,0.371,5586,6049,1934
P0329,61,Female,Bachelor,3,0,Student,5,55,6,4.14,2.88,3.72,2.71,3.37,2.34,2.78,2.81,3.87,2.15,2.59,2.7,4.6,3.1,3.92,4.38,8,2,1,0,40,26-50,3,Once daily,3.47,1.5,0.732,0.673,0.072,0.257,0.508,3159,4925,1237
P0330,46,Male,High school,1,0,Employed full-time,0,21,3,2.19,3.42,2.85,3.27,3.44,1.86,2.18,3.91,1.7,2.67,3.2,3.73,4.18,4.02,3.42,3.27,5,2,0,0,32,51-100,4,Few times/day,2.33,3.0,0.55,0.668,0.187,0.223,0.434,2830,3552,778
P0331,47,Male,Some college,2,0,Self-employed,4,63,10,2.12,3.15,3.12,3.23,3.32,2.53,1.92,3.1,2.02,2.73,2.11,4.04,4.92,3.65,2.85,3.3,8,3,0,0,40,26-50,3,Few times/day,3.88,0.1,0.686,0.637,0.261,0.22,0.359,3424,4415,1183
P0332,52,Female,High school,1,0,Student,3,50,5,2.65,2.71,2.86,4.54,3.45,3.44,2.0,2.86,2.93,3.82,2.26,2.51,4.6,2.8,3.26,3.9,5,1,5,1,40,11-25,2,Constantly,2.65,3.2,0.524,0.59,0.293,0.23,0.181,3838,4688,1503
P0333,39,Male,Bachelor,3,0,Retired,1,62,9,2.75,3.68,3.66,2.26,3.13,2.75,2.07,3.13,2.1,2.95,2.92,5.71,4.43,3.53,3.84,5.0,6,3,2,1,31,11-25,2,Few times/day,2.51,1.5,0.416,0.429,0.2,0.395,0.111,3007,3904,1297
P0334,48,Non-binary,Bachelor,3,0,Student,5,61,10,2.77,2.93,3.46,3.49,3.11,2.44,1.47,2.88,2.18,2.51,3.21,4.08,3.25,2.58,2.11,3.81,4,5,3,1,34,100+,5,Once daily,2.42,1.2,0.623,0.632,0.2,0.254,0.203,3311,3854,1523
P0335,45,Male,Master,4,1,Employed part-time,6,65,11,3.04,3.73,3.92,3.61,3.54,2.25,2.83,3.42,3.03,2.72,3.02,4.43,4.63,2.5,2.97,2.77,7,4,4,0,30,100+,5,Constantly,2.41,0.2,0.792,0.767,0.167,0.227,0.362,4443,4873,2342
P0336,34,Female,Some college,2,1,Employed full-time,2,76,8,3.43,3.96,5.0,2.69,3.32,1.53,3.02,3.37,2.95,2.85,1.47,4.36,4.88,3.58,3.88,2.95,7,4,0,1,24,11-25,2,Once daily,3.83,2.7,0.653,0.678,0.156,0.209,0.592,4527,5659,1767
P0337,38,Female,Some college,2,0,Employed full-time,5,66,11,2.04,2.69,3.04,3.85,1.73,2.68,2.75,2.67,2.3,2.87,3.0,1.62,5.0,3.59,3.5,3.26,6,5,1,1,26,0-10,1,Few times/day,3.1,0.3,0.696,0.744,0.165,0.22,0.291,3710,5621,1344
P0338,63,Female,Bachelor,3,0,Self-employed,2,48,4,1.77,2.57,3.31,1.87,3.29,2.74,2.98,2.64,2.21,2.46,2.35,3.36,3.71,5.0,3.39,2.36,4,4,1,0,40,11-25,2,Few times/day,3.09,0.4,0.519,0.511,0.233,0.338,0.234,2205,3052,943
P0339,31,Female,Master,4,1,Employed full-time,5,68,10,3.13,4.17,3.77,3.18,2.28,3.01,2.29,4.26,1.92,3.11,3.08,3.48,3.75,3.08,4.27,3.31,5,5,2,1,24,26-50,3,Hourly,1.89,0.3,0.614,0.578,0.124,0.371,0.31,3508,5201,1488
P0340,54,Female,Bachelor,3,0,Employed full-time,3,55,6,3.16,2.96,4.05,2.62,3.54,1.57,2.93,3.82,3.08,2.93,2.43,3.19,3.07,2.78,3.41,3.3,6,2,1,0,40,11-25,2,Few times/day,3.53,0.0,0.719,0.608,0.077,0.211,0.583,4130,5012,1283
P0341,43,Male,Bachelor,3,0,Student,2,46,7,3.76,3.78,3.36,2.26,3.39,2.1,3.77,3.13,2.95,2.31,1.66,3.75,4.33,3.94,3.24,3.51,6,4,1,1,28,51-100,4,Few times/day,1.92,2.2,0.68,0.687,0.129,0.273,0.467,2547,2999,770
P0342,52,Male,Bachelor,3,0,Student,2,18,6,3.21,4.79,4.11,1.7,3.61,1.28,2.87,4.11,3.36,1.46,1.52,1.0,3.1,3.18,3.12,2.24,5,2,0,1,40,100+,5,Once daily,2.57,0.6,0.715,0.699,0.02,0.191,0.474,3788,4631,2209
